album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
Darren (Deluxe),7,1PSC0M42zOWwswWiSTY2ml,Ah! Basta Gusto Kita,spotify:track:1PSC0M42zOWwswWiSTY2ml,0.01,0.723,0.8320000000000001,3.02e-05,0.11800000000000001,-6.1160000000000005,0.0292,123.012,0.6509999999999999,5,Darren Espanto
Darren (Deluxe),8,4o8ZgqkUOGdRTkC8fQvOBz,I Believe In Me,spotify:track:4o8ZgqkUOGdRTkC8fQvOBz,0.00156,0.439,0.615,5.14e-05,0.18899999999999997,-6.922999999999999,0.0345,89.428,0.213,5,Darren Espanto
Darren (Deluxe),9,5Q5tPh7zKd7wz5skI64pv7,Domino,spotify:track:5Q5tPh7zKd7wz5skI64pv7,0.0708,0.797,0.778,0.0,0.353,-5.596,0.0381,126.975,0.642,9,Darren Espanto
Darren (Deluxe),10,66W5O0NAYfZVjWLej4Oux5,I Believe,spotify:track:66W5O0NAYfZVjWLej4Oux5,0.126,0.43200000000000005,0.6920000000000001,0.0,0.131,-6.577999999999999,0.0361,134.006,0.31,40,Darren Espanto
Darren (Deluxe),11,68mD1K3jzPYkXGzWYIo6RZ,Stuck - Remix,spotify:track:68mD1K3jzPYkXGzWYIo6RZ,0.000414,0.7090000000000001,0.732,0.0907,0.14800000000000002,-7.499,0.0413,129.02,0.414,6,Darren Espanto
CLAPCLAPCLAP!,1,28X5Dji5MyC9W9Nb2IGcAV,CLAPCLAPCLAP!,spotify:track:28X5Dji5MyC9W9Nb2IGcAV,0.00292,0.53,0.985,0.96,0.0844,-20.906999999999996,0.0795,140.792,0.0,0,IV Of Spades
CLAPCLAPCLAP!,2,1u34VUANkmyRjGPRtxLgnA,Sweet Shadow,spotify:track:1u34VUANkmyRjGPRtxLgnA,0.00329,0.595,0.723,3.41e-05,0.157,-6.737,0.0266,127.97200000000001,0.349,39,IV Of Spades
CLAPCLAPCLAP!,3,5JFX5HIrFablCo0uEkNtKo,"Bata, Dahan-Dahan!",spotify:track:5JFX5HIrFablCo0uEkNtKo,0.19699999999999998,0.441,0.7859999999999999,0.00040199999999999996,0.15,-9.299,0.10800000000000001,149.99,0.233,39,IV Of Spades
CLAPCLAPCLAP!,4,2gnVqlNifLIGvinryubyG4,Bawat Kaluluwa,spotify:track:2gnVqlNifLIGvinryubyG4,0.0609,0.705,0.519,0.0324,0.305,-7.29,0.0341,116.98299999999999,0.521,50,IV Of Spades
CLAPCLAPCLAP!,5,7l5aCorqYz8HtZ3wjSwtOV,Not My Energy,spotify:track:7l5aCorqYz8HtZ3wjSwtOV,0.0199,0.565,0.795,1.77e-05,0.111,-5.9239999999999995,0.0328,144.936,0.775,37,IV Of Spades
CLAPCLAPCLAP!,6,3Eb5sztvEMa0Mqnb8DUAlU,Come Inside Of My Heart,spotify:track:3Eb5sztvEMa0Mqnb8DUAlU,0.00321,0.6759999999999999,0.565,0.000579,0.24100000000000002,-9.411,0.03,113.007,0.6890000000000001,57,IV Of Spades
CLAPCLAPCLAP!,7,0TrBAndl9PJXiGp2rmfdeI,The Novel Of My Mind,spotify:track:0TrBAndl9PJXiGp2rmfdeI,0.00035800000000000003,0.134,0.397,0.943,0.111,-14.963,0.0424,71.956,0.0356,34,IV Of Spades
CLAPCLAPCLAP!,8,7h4W9blGxYCkKJ3dxPZ84j,Dulo Ng Hangganan,spotify:track:7h4W9blGxYCkKJ3dxPZ84j,0.494,0.565,0.565,0.00262,0.127,-8.52,0.0368,136.042,0.35,55,IV Of Spades
CLAPCLAPCLAP!,9,4Edrtauj7pmOlykfFHLz07,In My Prison,spotify:track:4Edrtauj7pmOlykfFHLz07,0.0541,0.716,0.825,0.0279,0.303,-7.724,0.0335,114.98100000000001,0.7070000000000001,41,IV Of Spades
CLAPCLAPCLAP!,10,5Y33pd27lE5hznJFeD4dAk,My Juliana,spotify:track:5Y33pd27lE5hznJFeD4dAk,0.14300000000000002,0.531,0.552,3.4e-05,0.10300000000000001,-10.887,0.0327,164.028,0.23399999999999999,44,IV Of Spades
CLAPCLAPCLAP!,11,1I2pe7KNMnhmjI4VPZ4Oqq,I'm A Butterfly,spotify:track:1I2pe7KNMnhmjI4VPZ4Oqq,0.0045,0.266,0.812,0.0214,0.134,-7.916,0.0675,96.262,0.485,38,IV Of Spades
