track_id,track_name,artist_name,duration,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,key,mode,popularity,streams,position,P,S,combined,sum_val
25oOaleife6E2MIKmFkPvg,Relationship (feat. Future),Young Thug,0.3563461611747032,0.00252,0.8420000000000001,0.597,0.0,0.124,0.7334288638689865,0.0627,0.6030831999173685,0.298,2.0,1.0,76.0,36911.0,93.5,2,2,22,4.0
25sgk305KZfyuqVBQIahim,Sweet but Psycho,Ava Max,0.3004470723679593,0.0691,0.7190000000000001,0.7040000000000001,0.0,0.166,0.7994268167860797,0.0476,0.5192248102050303,0.628,1.0,1.0,84.0,42245.0,70.0,1,1,11,2.0
267RumTt5KeLBGl2KWxBL0,Dating Tayo,TJ Monterde,0.4048321523054614,0.648,0.551,0.32899999999999996,3.82e-05,0.0925,0.5534902763561924,0.0431,0.5624580385270876,0.331,7.0,1.0,63.0,26494.0,162.0,3,3,33,6.0
26Fqtv4Aa7kyd1WWGHai6A,Privilege,The Weeknd,0.26662481422127376,0.9129999999999999,0.391,0.595,0.00557,0.145,0.7023950870010235,0.0411,0.2660228270412642,0.379,11.0,0.0,0.0,23338.0,157.0,3,4,34,7.0
26OhjtaTamFocE08t83ml6,"Psycho, Pt. 2",Russ,0.2493997918074841,0.775,0.7659999999999999,0.5479999999999999,5.57e-06,0.1,0.8171954964176048,0.235,0.19606982389092592,0.424,10.0,1.0,79.0,25754.0,177.0,4,3,43,7.0
26gceVsA1ybT8qsX3aYLEn,Thunder,Imagine Dragons,0.29986541697671576,0.00702,0.605,0.813,0.114,0.145,0.7969293756397133,0.0448,0.7451389247533957,0.23800000000000002,0.0,1.0,1.0,48410.0,56.0,1,1,11,2.0
26wLOs3ZuHJa2Ihhx6QIE6,Teeth,5 Seconds of Summer,0.335448686963097,0.0516,0.7490000000000001,0.461,6.24e-06,0.0738,0.8716069600818832,0.0416,0.5580746785105615,0.42,10.0,0.0,78.0,30987.0,141.0,3,2,32,5.0
27356GVuMPFWiJSZCragoM,make up,Ariana Grande,0.20669425184073875,0.0844,0.6709999999999999,0.7140000000000001,1.48e-06,0.0568,0.7728556806550665,0.21,0.3393392036358002,0.47700000000000004,7.0,1.0,68.0,37396.0,106.0,2,2,22,4.0
2771LMNxwf62FTAdpJMQfM,Bodak Yellow,Cardi B,0.3737075717491982,0.0672,0.929,0.723,0.0,0.34600000000000003,0.7557011258955986,0.109,0.4677090326912152,0.45799999999999996,11.0,0.0,67.0,27660.5,126.0,2,3,23,5.0
27kB4qLUCV8nZd2eOgj1Tk,KILLING ME,iKON,0.3130770171909254,0.465,0.76,0.672,0.0,0.205,0.7767860798362333,0.0732,0.4868434643392036,0.505,9.0,0.0,59.0,26779.5,152.5,3,3,33,6.0
27rdGxbavYJeBphck5MZAF,Nothing Breaks Like a Heart (feat. Miley Cyrus),Mark Ronson,0.36067849098534427,0.00987,0.601,0.794,1.36e-06,0.38799999999999996,0.7535721596724667,0.0671,0.3969813561948045,0.244,7.0,0.0,77.0,24993.0,147.0,3,4,34,7.0
27ycaQnQAxaPiyeg3nr2aB,Midnight Sky,Miley Cyrus,0.3723376730174076,0.00115,0.705,0.8140000000000001,0.00312,0.203,0.7690481064483109,0.0346,0.3707328409853845,0.259,4.0,0.0,92.0,51799.5,60.0,1,1,11,2.0
